layer,pair_index,left_index,right_index,dot,cosine,left_norm,right_norm,metric_variant,left_sample_index,right_sample_index,left_example_id,right_example_id,left_sequence_index,right_sequence_index,left_hidden_pos,right_hidden_pos,left_label_pos,right_label_pos,left_input_token_id,right_input_token_id,left_label_token_id,right_label_token_id,left_input_token_str,right_input_token_str,left_label_token_str,right_label_token_str,left_hidden_attention_mask,right_hidden_attention_mask,left_label_attention_mask,right_label_attention_mask,left_domain,right_domain
24,33,29,49,8697.75,0.5130340456962585,127.73503875732422,132.724365234375,raw,0,0,,,0,0,84,104,85,105,667,17,5898,25277,ia,2, sold, clips,1,1,1,1,,
24,34,29,99,3219.06396484375,0.21120388805866241,127.73503875732422,119.32121276855469,raw,0,1,,,0,0,84,88,85,89,667,220,5898,15,ia, , sold,0,1,1,1,1,,
24,35,31,36,6822.1552734375,0.4845382869243622,119.42121887207031,117.8995132446289,raw,0,0,,,0,0,86,91,87,92,220,19,19,283, ,4,4, =,1,1,1,1,,
24,36,32,53,4650.11083984375,0.33793410658836365,116.4314193725586,118.18465423583984,raw,0,0,,,0,0,87,108,88,109,19,5632,23,321,4, April,8, and,1,1,1,1,,
24,37,32,123,3577.390380859375,0.23597465455532074,116.4314193725586,130.2059326171875,raw,0,1,,,0,0,87,112,88,113,19,198,23,794,4,"
",8,####,1,1,1,1,,
24,38,35,88,5836.2705078125,0.40333157777786255,109.3970718383789,132.27186584472656,raw,0,1,,,0,0,90,77,91,78,17,9104,19,13,2, minute,4,.,1,1,1,1,,
24,39,35,125,3843.351806640625,0.29360687732696533,109.3970718383789,119.65702819824219,raw,0,1,,,0,0,90,114,91,115,17,220,19,16,2, ,4,1,1,1,1,1,,
24,40,36,38,5784.8671875,0.38704541325569153,117.8995132446289,126.77086639404297,raw,0,0,,,0,0,91,93,92,94,19,1079,283,19,4, <<, =,4,1,1,1,1,,
24,41,36,111,3647.10107421875,0.26687994599342346,117.8995132446289,115.90971374511719,raw,0,1,,,0,0,91,100,92,101,19,13,283,17,4,., =,2,1,1,1,1,,
24,42,37,85,4819.00830078125,0.36521294713020325,108.82653045654297,121.24860382080078,raw,0,1,,,0,0,92,74,93,75,283,13,1079,17, =,., <<,2,1,1,1,1,,
24,43,38,88,5948.62353515625,0.35475584864616394,126.77086639404297,132.27186584472656,raw,0,1,,,0,0,93,77,94,78,1079,9104,19,13, <<, minute,4,.,1,1,1,1,,
24,44,39,55,4137.8681640625,0.3040822446346283,112.81627655029297,120.61846923828125,raw,0,0,,,0,0,94,110,95,111,19,3114,23,13,4, May,8,.,1,1,1,1,,
24,45,40,51,6585.166015625,0.4331403970718384,120.57806396484375,126.08683013916016,raw,0,0,,,0,0,95,106,96,107,23,29071,10,303,8, altogether,+, in,1,1,1,1,,
24,46,41,58,6078.8896484375,0.3588489294052124,127.13612365722656,133.24276733398438,raw,0,0,,,0,0,96,113,97,114,10,794,17,220,+,####,2, ,1,1,1,1,,
24,47,42,60,5316.6220703125,0.4651338756084442,107.3622817993164,106.46480560302734,raw,0,0,,,0,0,97,115,98,116,17,22,19,17,2,7,4,2,1,1,1,1,,
24,48,42,106,5127.5498046875,0.40112194418907166,107.3622817993164,119.06433868408203,raw,0,1,,,0,0,97,95,98,96,17,15,19,283,2,0,4, =,1,1,1,1,,
24,49,43,55,6742.93994140625,0.4818536043167114,116.01666259765625,120.61846923828125,raw,0,0,,,0,0,98,110,99,111,19,3114,28,13,4, May,=,.,1,1,1,1,,
24,50,43,114,6593.5615234375,0.5608465671539307,116.01666259765625,101.33409881591797,raw,0,1,,,0,0,98,103,99,104,19,20,28,15,4,5,=,0,1,1,1,1,,
24,51,44,96,2775.2265625,0.16418804228305817,129.93295288085938,130.08810424804688,raw,0,1,,,0,0,99,85,100,86,28,11,22,1292,=,",",7, she,1,1,1,1,,
24,52,46,65,1549.2698974609375,0.09823785722255707,130.00198364257812,121.31045532226562,raw,0,1,,,0,0,101,54,102,55,17,220,2372,16,2, ,>>,1,1,1,1,1,,
24,53,48,59,4167.41357421875,0.3222808837890625,108.19508361816406,119.51557922363281,raw,0,0,,,0,0,103,114,104,115,22,220,17,22,7, ,2,7,1,1,1,1,,
24,54,49,56,4708.31640625,0.30939674377441406,132.724365234375,114.65665435791016,raw,0,0,,,0,0,104,111,105,112,17,13,25277,198,2,., clips,"
",1,1,1,1,,
24,55,49,64,5563.75,0.3338261842727661,132.724365234375,125.57308197021484,raw,0,1,,,0,0,104,53,105,54,17,61607,25277,220,2, earns, clips, ,1,1,1,1,,
24,56,49,117,2738.080322265625,0.18009763956069946,132.724365234375,114.5479965209961,raw,0,1,,,0,0,104,106,105,107,17,16,25277,15,2,1, clips,0,1,1,1,1,,
24,57,50,98,7437.537109375,0.49508121609687805,119.93504333496094,125.2583236694336,raw,0,1,,,0,0,105,87,106,88,25277,14857,29071,220, clips, earned, altogether, ,1,1,1,1,,
24,58,52,73,1670.5439453125,0.10767906159162521,125.18479919433594,123.92959594726562,raw,0,1,,,0,0,107,62,108,63,303,2362,5632,16, in,<<, April,1,1,1,1,1,,
24,59,55,84,6460.7861328125,0.4552355110645294,120.61846923828125,117.66178131103516,raw,0,1,,,0,0,110,73,111,74,3114,15,13,13, May,0,.,.,1,1,1,1,,
24,60,57,75,4467.73876953125,0.2913667559623718,129.10906982421875,118.76569366455078,raw,0,1,,,0,0,112,64,113,65,198,17,794,14,"
",2,####,/,1,1,1,1,,
24,61,59,101,5635.1689453125,0.3997706174850464,119.51557922363281,117.94283294677734,raw,0,1,,,0,0,114,90,115,91,220,13,22,17, ,.,7,2,1,1,1,1,,
24,62,59,113,4507.880859375,0.3022768497467041,119.51557922363281,124.77943420410156,raw,0,1,,,0,0,114,102,115,103,220,9,22,20, ,*,7,5,1,1,1,1,,
24,63,60,89,5675.77587890625,0.4080078601837158,106.46480560302734,130.6623992919922,raw,0,1,,,0,0,115,78,116,79,22,13,17,198,7,.,2,"
",1,1,1,1,,
24,64,61,101,4330.537109375,0.2914554476737976,125.97895812988281,117.94283294677734,raw,1,1,,,0,0,50,90,51,91,198,13,54,17,"
",.,W,2,1,1,1,1,,
24,65,62,120,6151.04345703125,0.42097538709640503,131.25424194335938,111.32142639160156,raw,1,1,,,0,0,51,109,52,110,54,16,800,15,W,1,eng,0,1,1,1,1,,
24,66,62,124,6024.49658203125,0.34441882371902466,131.25424194335938,133.266357421875,raw,1,1,,,0,0,51,113,52,114,54,794,800,220,W,####,eng, ,1,1,1,1,,
24,67,66,87,10655.623046875,0.6742307543754578,125.4002685546875,126.02938842773438,raw,1,1,,,0,0,55,76,56,77,16,791,17,9104,1, per,2, minute,1,1,1,1,,
24,68,66,105,7273.6259765625,0.5743864178657532,125.4002685546875,100.98301696777344,raw,1,1,,,0,0,55,94,56,95,16,20,17,15,1,5,2,0,1,1,1,1,,
24,69,70,86,13045.4501953125,0.7541570067405701,131.3511962890625,131.69317626953125,raw,1,1,,,0,0,59,75,60,76,15,17,283,791,0,2, =, per,1,1,1,1,,
24,70,70,97,8630.0595703125,0.5347248315811157,131.3511962890625,122.87100219726562,raw,1,1,,,0,0,59,86,60,87,15,1292,283,14857,0, she, =, earned,1,1,1,1,,
24,71,72,105,6049.32666015625,0.4838021993637085,123.82001495361328,100.98301696777344,raw,1,1,,,0,0,61,94,62,95,393,20,2362,15, $,5,<<,0,1,1,1,1,,
24,72,73,83,10408.8798828125,0.6421658992767334,123.92959594726562,130.7921600341797,raw,1,1,,,0,0,62,72,63,73,2362,2372,16,15,<<,>>,1,0,1,1,1,1,,
24,73,73,85,6465.3310546875,0.43026795983314514,123.92959594726562,121.24860382080078,raw,1,1,,,0,0,62,74,63,75,2362,13,16,17,<<,.,1,2,1,1,1,1,,
24,74,73,98,7208.0126953125,0.46433764696121216,123.92959594726562,125.2583236694336,raw,1,1,,,0,0,62,87,63,88,2362,14857,16,220,<<, earned,1, ,1,1,1,1,,
24,75,74,89,5643.51318359375,0.37011563777923584,116.69747924804688,130.6623992919922,raw,1,1,,,0,0,63,78,64,79,16,13,17,198,1,.,2,"
",1,1,1,1,,
24,76,76,108,7390.86669921875,0.4930763840675354,127.48737335205078,117.5747299194336,raw,1,1,,,0,0,65,97,66,98,14,393,21,2362,/, $,6,<<,1,1,1,1,,
24,77,77,85,5975.79248046875,0.4459117650985718,110.5273666381836,121.24860382080078,raw,1,1,,,0,0,66,74,67,75,21,13,15,17,6,.,0,2,1,1,1,1,,
24,78,77,100,5577.44091796875,0.4292200207710266,110.5273666381836,117.56693267822266,raw,1,1,,,0,0,66,89,67,90,21,15,15,13,6,0,0,.,1,1,1,1,,
24,79,79,89,6541.48779296875,0.3828292787075043,130.7738037109375,130.6623992919922,raw,1,1,,,0,0,68,78,69,79,28,13,15,198,=,.,0,"
",1,1,1,1,,
24,80,79,124,5536.076171875,0.3176587224006653,130.7738037109375,133.266357421875,raw,1,1,,,0,0,68,113,69,114,28,794,15,220,=,####,0, ,1,1,1,1,,
24,81,81,83,6887.033203125,0.44625166058540344,117.99691009521484,130.7921600341797,raw,1,1,,,0,0,70,72,71,73,13,2372,17,15,.,>>,2,0,1,1,1,1,,
24,82,83,117,7090.6513671875,0.473278671503067,130.7921600341797,114.5479965209961,raw,1,1,,,0,0,72,106,73,107,2372,16,15,15,>>,1,0,0,1,1,1,1,,
24,83,84,94,5676.23583984375,0.3878224194049835,117.66178131103516,124.39190673828125,raw,1,1,,,0,0,73,83,74,84,15,15,13,4276,0,0,., minutes,1,1,1,1,,
24,84,84,117,6061.96728515625,0.4497702121734619,117.66178131103516,114.5479965209961,raw,1,1,,,0,0,73,106,74,107,15,16,13,15,0,1,.,0,1,1,1,1,,
24,85,88,121,13706.283203125,0.7952045202255249,132.27186584472656,130.30868530273438,raw,1,1,,,0,0,77,110,78,111,9104,15,13,13, minute,0,.,.,1,1,1,1,,
24,86,89,96,13047.298828125,0.7675954699516296,130.6623992919922,130.08810424804688,raw,1,1,,,0,0,78,85,79,86,13,11,198,1292,.,",","
", she,1,1,1,1,,
24,87,90,119,10638.9814453125,0.6123057007789612,132.30105590820312,131.33135986328125,raw,1,1,,,0,0,79,108,80,109,198,2372,32853,16,"
",>>,Working,1,1,1,1,1,,
24,88,91,111,3461.249267578125,0.22503070533275604,132.70010375976562,115.90971374511719,raw,1,1,,,0,0,80,100,81,101,32853,13,220,17,Working,., ,2,1,1,1,1,,
24,89,92,126,5950.5361328125,0.4529644548892975,117.31350708007812,111.98089599609375,raw,1,1,,,0,0,81,115,82,116,220,16,20,15, ,1,5,0,1,1,1,1,,
24,90,93,106,8261.2802734375,0.6018508672714233,115.28605651855469,119.06433868408203,raw,1,1,,,0,0,82,95,83,96,20,15,15,283,5,0,0, =,1,1,1,1,,
24,91,94,101,5950.677734375,0.4056044816970825,124.39190673828125,117.94283294677734,raw,1,1,,,0,0,83,90,84,91,15,13,4276,17,0,., minutes,2,1,1,1,1,,
24,92,94,125,3214.34423828125,0.21595439314842224,124.39190673828125,119.65702819824219,raw,1,1,,,0,0,83,114,84,115,15,220,4276,16,0, , minutes,1,1,1,1,1,,
24,93,95,103,8495.2353515625,0.5318549275398254,133.0595245361328,120.0428466796875,raw,1,1,,,0,0,84,92,85,93,4276,830,11,220, minutes, x,",", ,1,1,1,1,,
24,94,95,113,4283.66650390625,0.25800415873527527,133.0595245361328,124.77943420410156,raw,1,1,,,0,0,84,102,85,103,4276,9,11,20, minutes,*,",",5,1,1,1,1,,
24,95,95,115,6835.7841796875,0.4417528510093689,133.0595245361328,116.29552459716797,raw,1,1,,,0,0,84,104,85,105,4276,15,11,28, minutes,0,",",=,1,1,1,1,,
24,96,112,126,7306.01220703125,0.5609528422355652,116.30814361572266,111.98089599609375,raw,1,1,,,0,0,101,115,102,116,17,16,9,15,2,1,*,0,1,1,1,1,,
24,97,113,122,5530.62109375,0.37786561250686646,124.77943420410156,117.29878997802734,raw,1,1,,,0,0,102,111,103,112,9,13,20,198,*,.,5,"
",1,1,1,1,,
24,98,114,118,6830.9482421875,0.5537583827972412,101.33409881591797,121.73208618164062,raw,1,1,,,0,0,103,107,104,108,20,15,15,2372,5,0,0,>>,1,1,1,1,,
24,99,114,120,6908.8955078125,0.6124551296234131,101.33409881591797,111.32142639160156,raw,1,1,,,0,0,103,109,104,110,20,16,15,15,5,1,0,0,1,1,1,1,,
24,0,0,10,-1333.9989013671875,-0.13646556437015533,108.36015319824219,90.21168518066406,centered,0,0,,,0,0,55,65,56,66,198,283,45,1079,"
", =,N, <<,1,1,1,1,,
24,1,0,116,301.29925537109375,0.025331273674964905,108.36015319824219,109.76690673828125,centered,0,1,,,0,0,55,105,56,106,198,28,45,16,"
",=,N,1,1,1,1,1,,
24,2,2,83,-2070.422119140625,-0.17650657892227173,128.24691772460938,91.46418762207031,centered,0,1,,,0,0,57,72,58,73,4073,2372,667,15,atal,>>,ia,0,1,1,1,1,,
24,3,4,17,-1092.163330078125,-0.1399998664855957,96.14180755615234,81.14237213134766,centered,0,0,,,0,0,59,72,60,73,5898,17,220,19, sold,2, ,4,1,1,1,1,,
24,4,4,22,3877.62548828125,0.43277791142463684,96.14180755615234,93.1941146850586,centered,0,0,,,0,0,59,77,60,78,5898,25277,220,303, sold, clips, , in,1,1,1,1,,
24,5,4,111,-2394.6767578125,-0.25302404165267944,96.14180755615234,98.4402847290039,centered,0,1,,,0,0,59,100,60,101,5898,13,220,17, sold,., ,2,1,1,1,1,,
24,6,6,30,1363.9097900390625,0.19052310287952423,80.11386108398438,89.35736083984375,centered,0,0,,,0,0,61,85,62,86,19,5898,23,220,4, sold,8, ,1,1,1,1,,
24,7,6,42,-668.4322509765625,-0.09164203703403473,80.11386108398438,91.04476928710938,centered,0,0,,,0,0,61,97,62,98,19,17,23,19,4,2,8,4,1,1,1,1,,
24,8,6,75,-369.82415771484375,-0.05194316431879997,80.11386108398438,88.87081909179688,centered,0,1,,,0,0,61,64,62,65,19,17,23,14,4,2,8,/,1,1,1,1,,
24,9,6,90,-1559.85107421875,-0.1988886147737503,80.11386108398438,97.89613342285156,centered,0,1,,,0,0,61,79,62,80,19,198,23,32853,4,"
",8,Working,1,1,1,1,,
24,10,9,52,1332.86572265625,0.13518781960010529,89.9671401977539,109.5884780883789,centered,0,0,,,0,0,64,107,65,108,17,303,283,5632,2, in, =, April,1,1,1,1,,
24,11,9,56,-1272.420654296875,-0.16535066068172455,89.9671401977539,85.53440856933594,centered,0,0,,,0,0,64,111,65,112,17,13,283,198,2,., =,"
",1,1,1,1,,
24,12,9,79,-3256.45703125,-0.34436097741127014,89.9671401977539,105.11083984375,centered,0,1,,,0,0,64,68,65,69,17,28,283,15,2,=, =,0,1,1,1,1,,
24,13,9,115,-513.35791015625,-0.06751656532287598,89.9671401977539,84.51348114013672,centered,0,1,,,0,0,64,104,65,105,17,15,283,28,2,0, =,=,1,1,1,1,,
24,14,13,19,-392.3564758300781,-0.052033279091119766,82.13853454589844,91.80211639404297,centered,0,0,,,0,0,68,74,69,75,23,2372,14,17,8,>>,/,2,1,1,1,1,,
24,15,14,17,1258.83984375,0.1720525175333023,90.16992950439453,81.14237213134766,centered,0,0,,,0,0,69,72,70,73,14,17,17,19,/,2,2,4,1,1,1,1,,
24,16,15,20,159.0084686279297,0.02651885524392128,77.95663452148438,76.91523742675781,centered,0,0,,,0,0,70,75,71,76,17,17,28,19,2,2,=,4,1,1,1,1,,
24,17,15,47,-714.7491455078125,-0.09548649191856384,77.95663452148438,96.01932525634766,centered,0,0,,,0,0,70,102,71,103,17,2372,28,22,2,>>,=,7,1,1,1,1,,
24,18,16,75,-420.0408935546875,-0.046174295246601105,102.36043548583984,88.87081909179688,centered,0,1,,,0,0,71,64,72,65,28,17,17,14,=,2,2,/,1,1,1,1,,
24,19,16,119,380.1329345703125,0.0405360609292984,102.36043548583984,91.6139907836914,centered,0,1,,,0,0,71,108,72,109,28,2372,17,16,=,>>,2,1,1,1,1,1,,
